URL odkaz,Dispozice,Rozmery,Rozmer bez jednotek,Kompozice,Lokace,Ulice,Mesto,Cena za mesic,Cena
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Nad Vývozem, Zlín",Nad Vývozem, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-podlesi-v/2323300940,Pronájem bytu 1+1 36m²,36m²,36,1+1,"Podlesí V, Zlín",Podlesí V, Zlín,11500Kč/měsíc,11500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-tecovska/1112744524,Pronájem bytu 1+kk 26m²,26m²,26,1+kk,"Tečovská, Zlín - Malenovice",Tečovská, Zlín - Malenovice,8300Kč/měsíc,8300
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lorencova/1472258636,Pronájem bytu 2+kk 65m²,65m²,65,2+kk,"Lorencova, Zlín",Lorencova, Zlín,18700Kč/měsíc,18700
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dlouha/1913504332,Pronájem bytu 2+1 56m²,56m²,56,2+1,"Dlouhá, Zlín",Dlouhá, Zlín,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vysoka/2008138316,Pronájem bytu 1+1 25m²,25m²,25,1+1,"Vysoká, Zlín",Vysoká, Zlín,9000Kč/měsíc,9000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-zahradni/3143836236,Pronájem bytu 1+kk 21m²,21m²,21,1+kk,"Zahradní, Zlín - Malenovice",Zahradní, Zlín - Malenovice,14900Kč/měsíc,14900
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-tyrsova/2728141388,Pronájem bytu 3+1 68m²,68m²,68,3+1,"Tyršova, Zlín - Malenovice",Tyršova, Zlín - Malenovice,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/3600556620,Pronájem bytu 2+kk 96m²,96m²,96,2+kk,"Lešetín I, Zlín",Lešetín I, Zlín,25000Kč/měsíc,25000
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-beckovska/481043020,Pronájem bytu 3+1 68m²,68m²,68,3+1,"Beckovská, Zlín",Beckovská, Zlín,17000Kč/měsíc,17000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vetrna/987308620,Pronájem bytu 1+1 34m²,34m²,34,1+1,"Větrná, Zlín",Větrná, Zlín,10000Kč/měsíc,10000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dukelska/1356603980,Pronájem bytu 2+1 48m²,48m²,48,2+1,"Dukelská, Zlín",Dukelská, Zlín,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kudlov-vaclavska/1963905612,Pronájem bytu 2+1 58m²,58m²,58,2+1,"Václavská, Zlín - Kudlov",Václavská, Zlín - Kudlov,10000Kč/měsíc,10000
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-budovatelska/2434540108,Pronájem bytu 3+1 64m²,64m²,64,3+1,"Budovatelská, Zlín",Budovatelská, Zlín,16000Kč/měsíc,16000
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-chelcickeho/722215500,Pronájem bytu 2+1 55m²,55m²,55,2+1,"Chelčického, Zlín - Malenovice",Chelčického, Zlín - Malenovice,15900Kč/měsíc,15900
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-/420225612,Pronájem bytu 3+1 96m²,96m²,96,3+1,Zlín,NaN,Zlín,18000Kč/měsíc,18000
https://www.sreality.cz/detail/pronajem/byt/3+1/slusovice-slusovice-pod-veselou/1057759820,Pronájem bytu 3+1 115m²,115m²,115,3+1,"Pod Veselou, Slušovice",Pod Veselou, Slušovice,15000Kč/měsíc,15000
https://www.sreality.cz/detail/pronajem/byt/2+kk/frystak-frystak-komenskeho/1269887564,Pronájem bytu 2+kk 57m²,57m²,57,2+kk,"Komenského, Fryšták",Komenského, Fryšták,15500Kč/měsíc,15500
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-malenovice-trida-svobody/1570579020,Pronájem bytu 2+kk 64m²,64m²,64,2+kk,"třída Svobody, Zlín - Malenovice",třída Svobody, Zlín - Malenovice,20690Kč/měsíc,20690
https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,Pronájem bytu 3+1 73m²,73m²,73,3+1,"Slezská, Zlín",Slezská, Zlín,19000Kč/měsíc,19000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-trida-svobody/2694652492,Pronájem bytu 1+kk 37m²,37m²,37,1+kk,"třída Svobody, Zlín - Malenovice",třída Svobody, Zlín - Malenovice,14900Kč/měsíc,14900
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zarami/526201420,Pronájem bytu 2+kk 60m²,60m²,60,2+kk,"Zarámí, Zlín",Zarámí, Zlín,17500Kč/měsíc,17500
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3869057612,Pronájem bytu 2+1 44m²,44m²,44,2+1,"Na Honech II, Zlín",Na Honech II, Zlín,15800Kč/měsíc,15800
https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-havlickova/1204625996,Pronájem bytu 2+1 68m²,68m²,68,2+1,"Havlíčkova, Otrokovice",Havlíčkova, Otrokovice,14000Kč/měsíc,14000
https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-ceska/1698574924,Pronájem bytu 1+1 33m²,33m²,33,1+1,"Česká, Zlín",Česká, Zlín,10400Kč/měsíc,10400
https://www.sreality.cz/detail/pronajem/byt/2+1/slusovice-slusovice-druzstevni/3678216780,Pronájem bytu 2+1 57m²,57m²,57,2+1,"Družstevní, Slušovice",Družstevní, Slušovice,9000Kč/měsíc,9000
https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-otrokovice-tr-spojencu/2033132108,Pronájem bytu 2+kk 48m²,48m²,48,2+kk,"tř. Spojenců, Otrokovice",tř. Spojenců, Otrokovice,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-sadova/2004689484,Pronájem bytu 2+kk 51m²,51m²,51,2+kk,"Sadová, Zlín",Sadová, Zlín,18500Kč/měsíc,18500
https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-cihlarska/2523734604,Pronájem bytu 2+1 58m²,58m²,58,2+1,"Cihlářská, Zlín",Cihlářská, Zlín,16500Kč/měsíc,16500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-lorencova/124592716,Pronájem bytu 1+kk 28m²,28m²,28,1+kk,"Lorencova, Zlín",Lorencova, Zlín,9500Kč/měsíc,9500
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-podlesi-ii/2862490188,Pronájem bytu 1+kk 30m²,30m²,30,1+kk,"Podlesí II, Zlín",Podlesí II, Zlín,12000Kč/měsíc,12000
https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-trida-tomase-bati/1735799372,Pronájem bytu 1+kk 23m²,23m²,23,1+kk,"třída Tomáše Bati, Zlín",třída Tomáše Bati, Zlín,9000Kč/měsíc,9000
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-na-honech-ii/1418601036,Pronájem bytu 2+kk 56m²,56m²,56,2+kk,"Na Honech II, Zlín",Na Honech II, Zlín,18500Kč/měsíc,18500
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-l-vachy/1093284428,Pronájem bytu 2+kk 55m²,55m²,55,2+kk,"L. Váchy, Zlín",L. Váchy, Zlín,12800Kč/měsíc,12800
https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-l-vachy/442118732,Pronájem bytu 2+kk 50m²,50m²,50,2+kk,"L. Váchy, Zlín",L. Váchy, Zlín,12000Kč/měsíc,12000
